회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
아미코젠,2015,21.8362535,15.18866394,1.920130847,322.2790311,20.30565145,0
클리오,2016,42.97151189,17.2451336,11.58785331,241.0120959,80.31369211,0
톱텍,2016,22.73507814,21.39353274,9.851145073,166.7760702,83.41435716,0
주성엔지니어링,2016,15.24671962,-10.92978967,11.07559658,182.1801893,81.83239998,0
지엔코,2016,11.42544563,5.976139077,0.612885659,408.3149515,51.472769,0
인터플렉스,2016,14.6103778,4.218441885,-15.03940945,241.1288561,133.5186099,0
코스맥스엔비티,2016,12.35675193,16.26604786,11.76517578,182.1347146,66.0035875,0
하림지주,2017,-6.858878194,12.27059883,0.115611013,175.009814,98.58454081,0
인터플렉스,2017,26.88294875,9.567539099,5.526405989,280.9981775,145.3205058,0
이오테크닉스,2017,40.98750352,63.3237565,11.51558879,568.9772165,92.17200902,0
에코프로,2017,-3.23725053,-2.467454189,0.108770467,169.9189566,73.41643343,0
비에이치아이,2017,-20.12970386,12.37213755,4.636398379,135.9146024,76.8060393,0
지씨셀,2017,71.43197462,12.20774087,2.981193879,787.1844272,82.7310621,0
나스미디어,2017,22.05565689,22.69510124,8.119268982,167.8914236,38.06581023,0
비덴트,2017,19.10164547,41.16228204,-2.605481205,686.8710684,14.61636642,0
아난티,2017,-6.932278922,11.18227981,-1.032616596,182.7238555,20.59958161,0
유진테크,2017,47.50488267,85.23537547,11.82890417,767.1176065,48.95844491,0
씨제이프레시웨이,2017,-0.691632153,3.777861999,4.318352693,135.2951397,277.4533389,0
스튜디오드래곤,2018,27.12682367,13.2030377,6.391318142,461.2285982,74.0876464,0
에코프로,2018,1.870011237,3.480657422,1.621424224,153.2214832,100.2835011,0
에스티큐브,2018,78.89375577,-30.12761492,-6.938530217,294.3477611,18.89165359,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
